Artifact,OriginalVersion,Architecture,ReleaseUse,FileSize,SizeBasedVersion,SameAsOriginal,NoAssayDev,ReleaseBasedAndSame
ts-assaydev-ampliseq-coca-541-v4,6.6.0,amd64,6.7.15_AssayDev,76704,6.6.0,TRUE,6.7.15,TRUE
ts-assaydev-ampliseq-coca-541-v4,6.6.0,amd64,6.7.15.1_AssayDev,76704,6.6.0,TRUE,6.7.15.1,TRUE
ts-assaydev-ampliseq-coca-541-v4,6.6.0,amd64,6.7.15.2_AssayDev,76704,6.6.0,TRUE,6.7.15.2,TRUE
ts-assaydev-ampliseq-coca-541-v4,6.6.0,amd64,6.7.16_AssayDev,76704,6.6.0,TRUE,6.7.16,TRUE
ts-assaydev-ampliseq-coca-541-v4,6.6.0,amd64,6.7.17_AssayDev,76704,6.6.0,TRUE,6.7.17,TRUE
ts-assaydev-ampliseq-coca-541-v4,6.6.0,amd64,6.7.17.1_AssayDev,76704,6.6.0,TRUE,6.7.17.1,TRUE
ts-assaydev-ampliseq-coca3b-541-v2,6.6.0,amd64,6.7.15_AssayDev,77116,6.6.0,TRUE,6.7.15,TRUE
ts-assaydev-ampliseq-coca3b-541-v2,6.6.0,amd64,6.7.15.1_AssayDev,77116,6.6.0,TRUE,6.7.15.1,TRUE
ts-assaydev-ampliseq-coca3b-541-v2,6.6.0,amd64,6.7.15.2_AssayDev,77116,6.6.0,TRUE,6.7.15.2,TRUE
ts-assaydev-ampliseq-coca3b-541-v2,6.6.0,amd64,6.7.16_AssayDev,77116,6.6.0,TRUE,6.7.16,TRUE
ts-assaydev-ampliseq-coca3b-541-v2,6.6.0,amd64,6.7.17_AssayDev,77116,6.6.0,TRUE,6.7.17,TRUE
ts-assaydev-ampliseq-coca3b-541-v2,6.6.0,amd64,6.7.17.1_AssayDev,77116,6.6.0,TRUE,6.7.17.1,TRUE
ts-assaydev-ampliseq6reaction-coca-541-v1,6.7.15,amd64,6.7.15_AssayDev,76220,6.7.15,TRUE,6.7.15,TRUE
ts-assaydev-ampliseq6reaction-coca-541-v1,6.7.15.1,amd64,6.7.15.1_AssayDev,76248,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-ampliseq6reaction-coca-541-v1,6.7.15.1,amd64,6.7.15.2_AssayDev,76248,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-ampliseq6reaction-coca-541-v1,6.7.16,amd64,6.7.16_AssayDev,76248,6.7.15.1,FALSE,6.7.16,FALSE
ts-assaydev-ampliseq6reaction-coca-541-v1,6.7.17,amd64,6.7.17_AssayDev,76260,6.7.17,TRUE,6.7.17,TRUE
